edu_seq,mem_seq,edu_name,edu_locate,edu_content,edu_phone,edu_score,edu_hit,edu_wdate,edu_update
23,22,사당소마,서울 동작구 동작대로29길 119 극동 114동 상가 202호 (우)06990,화~금 12:00 ~ 22:00,02-1287-3319,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
24,23,e오일러수학교습소,서울 서초구 동광로 7-4 2층 (우)06560,매일 16:00 ~ 22:00,02-0359-3787,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
25,23,오드실용음악아카데미학원,서울 서초구 서초대로 28 장현빌딩 3층 (우)06675,월~토 11:00 ~ 22:00,02-6319-7458,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
26,25,펜다모델아카데미,서울 서초구 서초대로24길 17 지하1층 (우)06672,월~금 10:00 ~ 16:00,02-9569-5211,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
27,23,배우사거리연기뮤지컬학원,서울 동작구 사당로23길 6 2층 (우)07006,매일 10:00 ~ 22:00,02-6081-1033,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
28,22,사랑이넘치는피아노,서울 서초구 도구로 118 2층 (우)06570,"월,화,목,금 13:00 ~ 19:00",02-2176-1124,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
29,25,갈라파고스학원,서울 서초구 서초대로 37 한일빌딩 3층 (우)06570,"월~금 10:00 ~ 19:00 (전화상담)
월~금 휴게시간 12:00 ~ 13:00",02-9391-5021,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
30,22,피스톤체대입시,서울 서초구 방배동 924-11 DM타워 3관 지하1층,매일 10:00 ~ 22:00,02-4139-0561,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
31,24,예종앙볼리발레학원,서울 서초구 동작대로 190 4층 (우)06559,월~금 10:00 ~ 22:00,02-3153-6902,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
32,25,임파워스피치,서울 동작구 사당로 259 동우빌딩 3층 (우)07005,월~금 10:30 ~ 21:30,02-1196-2135,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
33,25,더브릿지학원,"서울 서초구 동작대로 138 소방빌딩 2,3층 (우)06567",월~토 10:00 ~ 19:00,02-5143-2738,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
34,21,아르떼발레&필라테스,서울 서초구 방배천로18길 26 3층 (우)06677,월~금 08:00 ~ 22:00,02-4512-1805,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
35,23,비우미술학원,서울 서초구 동작대로 190 승정빌딩 5층 (우)06559,화~금 15:00 ~ 22:00,02-0129-2813,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
36,22,발레앤코,서울 서초구 방배로 202 4층 (우)06585,월~금 11:00 ~ 20:00,02-8491-2167,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
37,23,노리터잉글리시,서울 서초구 방배로37길 27 2층 201호 (우)06561,월~금 13:30 ~ 20:00,02-3390-3441,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
38,21,스페라학원,서울 서초구 동작대로 160 201호 (우)06566,월~금 12:00 ~ 23:00,02-3421-9942,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
39,21,자연수학,서울 서초구 청두곶길 55 2층 202호 (우)06677,매일 10:00 ~ 22:00,02-585-2599,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
40,22,잼실용음악학원 사당지점,"서울 서초구 과천대로 946 우성상가 4층 2호, 4호 (우)06760",월~금 14:00 ~ 22:00,02-4746-8006,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
41,21,피아노리브레 사당센터,서울 관악구 과천대로 941 지산빌딩 3층 301호 (우)08807,월~금 13:00 ~ 23:00,02-1072-0847,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
42,23,김수정 유학미술 화실,서울 서초구 서초대로25길 27 2층 (우)06588,매일 12:00 ~ 20:00,02-2851-5230,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
43,21,파머스쎈텀학원,서울 동작구 사당로23길 112 후면상가2층 101호 (우)07001,월~금 14:00 ~ 22:00,02-780-0533,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
44,24,정은쌤스튜디오,서울 동작구 사당로27길 58 정은쌤스튜디오 (우)07007,화~금 14:00 ~ 22:00,02-9897-6415,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
45,24,유투엠리드인 서초방배캠퍼스,서울 서초구 방배로 211 SM빌딩 3층 (우)06562,월~금 13:00 ~ 22:00,02-6388-8421,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
46,21,호크마차일드스터디학원,서울 동작구 사당로23나길 34 3층 (우)07007,월~금 12:30 ~ 07:30,02-6084-0913,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
47,24,예꼴미술,서울 서초구 방배중앙로 30 지호빌딩 201호 (우)06684,월~금 11:40 ~ 19:00,02-9775-2432,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
48,22,천재해법독서논술교습소,서울 동작구 사당로17길 8 대림상가 A동 1층 109호 (우)07005,"월,화,수,목,금,일 01:00 ~ 20:00",02-599-8852,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
49,24,RVD입시컨설팅학원,서울 서초구 서초대로25길 17 서린빌딩 2층 (우)06588,월~토 11:00 ~ 19:00,02-4559-2693,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
50,25,유투인 수학학원 서초방배캠퍼스,서울 서초구 방배로 211 SM빌딩 3층 중앙학원 (우)06562,월~금 13:00 ~ 22:00,02-6393-7137,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
51,25,비비밸런스,서울 서초구 서초대로 90 지하1층 (우)06673,월~금 09:00 ~ 23:00,02-9808-9854,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
52,24,수지필라테스,서울 동작구 동작대로27가길 44 7층 (우)07008,월~금 09:00 ~ 22:00,010-5084-2272,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
53,23,메이드수 필라테스&플라잉요가 남성역점,서울 동작구 사당로 234 호림빌딩 6층 (우)07010,월~금 09:00 ~ 22:00,02-3481-0003,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
54,25,다올필라테스 이수점,서울 동작구 동작대로29나길 15 3층 (우)06997,월~금 09:00 ~ 22:00,02-1037-9642,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
55,24,끌로에필라테스 이수점,서울 동작구 동작대로27가길 44 7층 (우)07008,매일 10:00 ~ 21:00,02-536-3515,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
56,23,파인트리 필라테스 & 자이로토닉,서울 서초구 방배천로34길 2 J&J빌딩 2층 (우)06564,월~토 09:00 ~ 22:00,02-535-5277,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
57,24,나의필라테스,서울 서초구 서초대로 3-4 c동 1층 110호 (우)06568,월~금 10:00 ~ 22:00,02-594-4200,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
58,22,룩스필라테스 남성역점,"서울 동작구 사당로17길 17 3층, 4층 (우)07004",월~금 08:00 ~ 22:00,02-3792-6037,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
59,24,모던필라테스 서울서초지부,서울 서초구 방배로 144 2층 (우)06664,월~금 14:30 ~ 22:00,02-3471-5766,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
60,21,L Pilates studio(엘필라테스 스튜디오),서울 서초구 서초대로1길 37 3층 (우)06567,월~금 09:00 ~ 22:00,010-5227-5223,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
61,25,비바라짐 내방점,서울 서초구 서초대로 108 3층 301호 (우)06664,월~금 06:00 ~ 23:00,02-6422-2105,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
62,22,비엠더프라이빗 방배점,서울 서초구 방배로 202 2층 (우)06585,월~금 09:00 ~ 23:00,02-6215-4306,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
63,22,모던필라테스 서울예체능지부 전용관,서울 서초구 방배로 144 4층 (우)06664,월~금 09:30 ~ 22:00,02-0769-7184,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
64,21,SY발레필라테스앤플라잉요가,서울 서초구 방배중앙로 151 (우)06558,월~금 09:00 ~ 23:00,02-525-2951,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
65,24,베러핏필라테스&서킷스튜디오,서울 서초구 방배로20길 4 원동빌딩 6층 (우)06664,월~금 08:00 ~ 22:00,02-9556-7662,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
66,22,오늘필라테스바이최은정 남성역점,서울 동작구 사당로 220 4층 (우)07010,월~토 10:00 ~ 22:00,02-3284-2140,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
67,25,아진필라테스,서울 서초구 방배천로34길 2 J&J빌딩 2층 (우)06564,월~금 08:00 ~ 22:00,02-3478-7727,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
68,23,센트리얼필라테스 방배점,서울 서초구 방배로 98 (우)06665,월~금 07:00 ~ 23:00,02-587-1188,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
69,21,필라테스인 내방점,서울 서초구 방배로 215 2층 (우)06562,"매일 12:00 ~ 23:00
매일 휴게시간 17:00 ~ 18:00",02-591-3007,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
70,25,키무브 필라테스 스튜디오,서울 서초구 방배로 211 SM빌딩 5층 (우)06562,월~금 12:30 ~ 20:00,02-3214-5750,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
71,24,필라테스하우스,서울 서초구 서초대로 111 4층 (우)06588,매일 06:00 ~ 22:00,02-3408-7638,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
72,21,필라테스에이트,서울 서초구 서초대로25길 51 4층 (우)06586,월~금 10:00 ~ 22:00,02-9249-0392,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
73,25,배우다필라테스앤피티,서울 동작구 사당로 230-1 (우)07010,월~금 07:00 ~ 23:00,02-1294-0992,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
74,21,위니드필라테스,서울 관악구 남현3길 78 4층 (우)08807,"월~금 08:30 ~ 23:00
월~금 휴게시간 13:00 ~ 15:00",010-5882-1226,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
75,24,소메틱필라테스 비욘드,서울 서초구 남부순환로 2121-3 4층 (우)06693,"월,화,목,금 15:00 ~ 22:00",02-852-4488,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
76,21,앤유 자이로토닉&필라테스,서울 서초구 방배로36길 3 알렌빌딩 4층 (우)06584,월~금 10:00 ~ 22:00,02-8054-3218,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
77,22,포티포피트니스,서울 서초구 사평대로22길 41 (우)06576,월~금 10:00 ~ 22:00,02-9244-0818,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
78,22,세레니티필라테스랩,서울 서초구 방배로42길 29 3층 (우)06584,월~금 06:00 ~ 21:00,02-5869-1143,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
79,21,필라테스투게더 방배점,서울 서초구 방배로42길 46 1층 (우)06584,"월,화,목,금 10:00 ~ 21:00",010-4214-2140,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
80,21,바디진필라테스 서래마을점,서울 서초구 방배로32길 38 (우)06586,월~금 11:00 ~ 21:00,010-6640-3005,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
81,25,벨르필라테스,서울 서초구 방배로 269 (우)06553,월~금 09:00 ~ 22:00,02-532-1031,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
82,25,"필라테스,비움","서울 서초구 방배중앙로 207-10 아크로리버 상가 B1, 104호 (우)06551",매일 07:00 ~ 23:00,02-3627-0162,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
83,24,오늘필라테스by최은정,서울 관악구 남부순환로247길 3 3층 (우)08801,월~금 10:00 ~ 22:30,010-5285-5991,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
84,21,모던필라테스 방배역점,서울 서초구 방배로8길 4 3층 302호 (우)06705,월~금 09:00 ~ 22:00,070-7954-3690,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
85,23,마인드인모션,서울 서초구 남부순환로293길 16 2층 (우)06701,월~금 09:00 ~ 21:00,02-9138-3091,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
86,23,맥필라테스&PT,서울 서초구 사평대로 112 광천빌딩 3층 (우)06575,월~금 07:00 ~ 22:00,02-583-0919,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
87,23,리지필라테스,서울 서초구 서래로 39 가송빌딩 5층 (우)06576,월~금 09:00 ~ 22:00,02-8579-4181,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
88,23,살루스필라테스,서울 서초구 사평대로22길 37 2층 202호 (우)06576,화~일 09:00 ~ 22:00,02-6530-8785,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
89,23,필라라움,서울 서초구 서래로8길 7 포도빌딩 2층 (우)06577,월~금 08:00 ~ 22:00,010-9276-1232,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
90,25,필라테스물결,서울 서초구 사평대로26길 30 2층 (우)06577,월~토 08:00 ~ 22:00,010-3401-0388,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
91,23,요가플레이스&필라테스,서울 동작구 동작대로 109 3층 (우)07008,"일요일
공휴일",02-3441-4483,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
92,21,온유필라테스,서울 서초구 동작대로 108 (우)06568,일요일,02-5564-6240,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
93,23,바른몸필라테스 월요가,서울 서초구 방배로42길 61 빌딩7719 1층 (우)06584,월~금 08:00 ~ 10:30,02-6084-2056,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
94,22,랄라짐,서울 서초구 방배로37길 11 지하1층 (우)06561,월~금 08:00 ~ 22:00,02-0606-6149,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
95,22,워크인요가필라테스,서울 서초구 방배중앙로 187 (우)06554,월~금 14:00 ~ 22:00,02-4911-2931,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
96,22,소마루트,서울 서초구 방배로26길 16 (우)06588,월~금 10:00 ~ 23:00,02-0180-5068,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
97,25,바른선필라테스,서울 서초구 동광로1길 112 (우)06551,월~금 12:00 ~ 22:00,02-3477-0043,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
