beauty_seq,mem_seq,beauty_name,beauty_locate,beauty_content,beauty_phone,beauty_score,beauty_hit,beauty_wdate,beauty_update
59,31,헤어엠코드 총신대점,서울 동작구 동작대로 127 2층 A호 (우)07008,hi,02-866-6603,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
60,26,송재원헤어샵,서울 서초구 동광로12가길 25 1층 (우)06568,hi,02-8391-2021,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
61,28,앨빈헤어살롱,서울 서초구 도구로 116-1 (우)06570,hi,02-1227-6580,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
62,28,꼼모아헤어 본점,서울 서초구 방배로23길 31-2 1층 꼼모아헤어 (우)06680,매일 10:30 ~ 21:00,02-2063-6503,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
63,32,서래미장 방배본점,서울 서초구 동광로 56-1 101호 (우)06562,화요일,010-2739-0147,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
64,34,헤어컴미용실,서울 동작구 동작대로29다길 15 (우)06997,hi,02-0959-6973,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
65,30,우송원헤어,서울 동작구 사당로30길 77 (우)07014,hi,02-3077-9782,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
66,27,마지끄유,서울 서초구 방배로13길 41-22 1층 (우)06685,매일 11:00 ~ 22:00,02-0603-7110,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
67,30,라움헤어,서울 서초구 방배중앙로21길 42 1층 (우)06559,"월,화,목,금,토 10:30 ~ 20:00",02-534-2737,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
68,29,일공이헤어,서울 서초구 방배천로4안길 38 (우)06691,hi,02-6650-9862,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
69,27,미정원,서울 서초구 방배중앙로13길 2 1층 (우)06570,hi,02-3885-1665,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
70,28,살롱드키코 사당다른점,서울 관악구 남부순환로 2050 2층 (우)08805,월~금 11:00 ~ 21:00,02-8098-0825,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
71,32,카라헤어,서울 동작구 동작대로29길 63-3 (우)07008,hi,02-7516-8932,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
72,29,헤세드헤어,서울 서초구 방배중앙로 145-2 (우)06560,hi,02-7970-9939,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
73,29,갤러리조희미용실,서울 서초구 동광로12가길 21 (우)06568,hi,02-6546-0096,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
74,32,밀리오레헤어클럽,서울 동작구 동작대로7길 36 (우)07015,hi,02-8235-0925,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
75,34,헤어제이클럽,서울 동작구 사당로29가길 46 (우)07008,hi,02-1736-9890,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
76,31,머리못하는집 사당48호점,서울 동작구 사당로16가길 4 (우)07010,hi,02-1310-5310,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
77,29,아르스에이치 방배점,서울 서초구 동광로 8 리스빌 2층 (우)06566,hi,02-6014-1944,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
78,31,마샬뷰티살롱,서울 서초구 방배천로18길 2 (우)06677,hi,02-2163-0393,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
79,33,제시카뷰티샵,서울 동작구 동작대로7길 26 (우)07015,hi,02-9120-7071,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
80,34,영앤정헤어,서울 동작구 동작대로1길 42 2층 (우)07025,매일 10:30 ~ 21:00,02-9756-0116,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
81,28,수헤어,서울 동작구 사당로27길 15 (우)07006,hi,02-9789-7712,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
82,32,어도어헤어,서울 동작구 동작대로15길 123 1층 (우)07011,hi,02-584-1231,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
83,29,상록수헤어,서울 동작구 동작대로13길 16-4 (우)07014,hi,02-3363-4934,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
84,32,가윤헤어살롱 본점,서울 서초구 서초대로28길 13 1층 (우)06664,화~일 11:00 ~ 21:00,02-522-2575,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
85,29,마사지미용실,서울 서초구 방배중앙로 166 (우)06557,hi,02-8328-4046,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
86,26,수연헤어샵,서울 동작구 동작대로27길 49 (우)07008,hi,02-4254-3889,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
87,30,라떼르헤어 내방역점,서울 서초구 서초대로 90 2층 (우)06673,hi,02-2055-1231,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
88,32,유민희헤어라인,서울 서초구 서초대로1길 23 2층 (우)06567,월~토 10:00 ~ 20:00,02-591-3906,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
89,33,헤나킹 이수센터,서울 동작구 동작대로29길 17 (우)07008,hi,02-3576-6773,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
90,31,제이제이헤어,서울 서초구 방배천로4안길 52 (우)06691,hi,02-4568-9312,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
91,29,헤어플러스,서울 동작구 동작대로17길 14-2 (우)07013,hi,02-1371-1952,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
92,28,노이즈헤어,서울 서초구 서초대로 132 1층 (우)06661,화요일,02-0244-4733,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
93,33,미소헤어샵 1호점,서울 서초구 도구로 75 (우)06678,hi,02-5204-8174,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
94,26,내멋대로헤어 이수사당점,서울 서초구 방배천로16길 18 (우)06677,hi,02-9110-4988,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
95,35,헤어뉴스,서울 동작구 동작대로9길 74 (우)07016,hi,02-8905-4679,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
96,32,헤어핀,서울 동작구 동작대로 101 (우)07008,hi,02-7561-3550,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
97,26,더파인드헤어,서울 서초구 동광로12가길 15 1층 (우)06568,hi,02-532-2823,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
98,27,규수방미용실,서울 서초구 도구로9길 32 (우)06678,hi,02-7482-1246,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
99,32,장은헤어,서울 동작구 사당로27길 16 (우)07007,hi,02-7671-4532,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
100,31,천연헤나염색,서울 서초구 서초대로1길 38 (우)06566,hi,02-3702-3673,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
101,31,자자헤어 방배점,서울 서초구 동광로 29 (우)06560,"첫째 토,일요일",02-3481-8006,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
102,28,베스트프렌드헤어살롱,서울 동작구 동작대로29길 17 (우)07008,hi,02-6187-2164,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
103,29,안나헤어,서울 서초구 방배로25길 12 1층 102호 (우)06572,월~토 10:00 ~ 20:00,02-532-1369,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
104,27,헤어키키,서울 동작구 동작대로25길 33 1층 (우)07008,화~토 11:00 ~ 20:30,010-5645-1103,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
105,30,헤어망고 방배점,서울 서초구 방배로 94-1 2층 (우)06665,hi,02-5862-0684,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
106,35,차영미헤어클리닉,서울 서초구 방배로25길 25-2 (우)06573,hi,02-4563-7308,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
107,31,라인샾,서울 동작구 동작대로33길 17 (우)06997,hi,02-6002-6014,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
108,28,한스헤어,서울 서초구 방배천로2안길 110 (우)06677,hi,02-0237-6715,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
109,33,라미헤어,서울 동작구 동작대로17길 14-1 (우)07013,hi,02-5898-0008,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
110,35,뷰티 YD BEAUTY,서울 서초구 방배천로16길 18 (우)06677,hi,02-2085-7046,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
111,31,코리아미용실,서울 서초구 방배천로16길 18 (우)06677,hi,02-4013-8820,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
112,31,S스타일헤어 본점,서울 서초구 방배중앙로 164 2층 (우)06557,월~토 10:30 ~ 20:00,02-592-0216,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
113,35,오피유 헤어 사당점,서울 동작구 동작대로3길 16 2층 (우)07015,매일 10:00 ~ 20:00,02-6397-8253,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
114,26,메씨헤어,서울 동작구 사당로30길 55 (우)07014,hi,02-1892-9736,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
115,26,김선영헤어,서울 서초구 방배로25길 22 (우)06572,hi,02-0797-8511,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
116,34,메르시모몽 방배점,서울 서초구 방배천로 5-1 우성타운 6층 (우)06693,월~목 11:00 ~ 20:30,02-875-9311,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
117,34,김현정헤어,서울 서초구 도구로 120-4 (우)06570,hi,02-7587-7740,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
118,27,리치헤어,서울 동작구 동작대로35사길 3-2 (우)06991,hi,02-2958-2230,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
119,34,살롱에이 방배역점,서울 서초구 방배로 90 농전빌딩 3층 (우)06665,매일 10:30 ~ 20:30,02-1049-5527,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
120,35,정원머리방,서울 서초구 방배중앙로13길 48-1 (우)06570,hi,02-7882-8615,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
121,28,루시헤어,서울 서초구 동광로 55 (우)06561,hi,02-0336-9195,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
122,26,소프레사헤어살롱,서울 서초구 방배천로18길 32 1층 (우)06677,월~토 10:00 ~ 20:00,02-525-4029,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
123,32,헤어365 사당점,서울 동작구 동작대로29길 91 (우)06999,hi,02-6585-6636,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
124,28,이진헤어 방배점,서울 서초구 방배로 83 (우)06686,hi,02-3198-5011,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
125,26,더비아헤어,서울 서초구 방배천로8길 36 1층 (우)06691,월요일,02-6403-0909,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
126,28,진헤어룩,서울 동작구 동작대로29다길 7-2 1층 (우)06997,hi,02-7582-4322,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
127,26,수연헤어,서울 동작구 동작대로33다길 12-4 (우)06996,hi,02-8192-0043,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
128,33,이쁜머리,서울 동작구 동작대로9길 26 (우)07014,hi,02-8164-4461,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
129,31,가위가머리를만날때,서울 서초구 청두곶길 30 (우)06690,hi,02-8472-8021,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
130,27,윤희헤어,서울 동작구 사당로18길 18 (우)07011,hi,02-9676-9141,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
131,28,엘르미장,서울 서초구 방배천로2안길 55 (우)06691,hi,02-7382-6745,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
132,27,이연희헤어샵,서울 서초구 방배중앙로 46 (우)06680,hi,02-6343-1245,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
133,26,브넬헤어 방배카페거리점,서울 서초구 방배중앙로29길 3 2층 (우)06554,hi,02-2954-9471,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
134,28,각시미용실,서울 서초구 동광로8길 1 (우)06565,hi,02-1058-2397,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
135,33,헤어짱,서울 서초구 방배중앙로21길 10 (우)06558,hi,02-4251-6574,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
136,28,다은헤어샵,서울 동작구 동작대로29길 110 신동아 상가 2층 (우)06998,hi,02-2863-2499,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
137,34,스페셜제이,서울 동작구 사당로 229 1층 (우)07004,hi,02-2534-2369,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
138,33,hairby가희 내방역점,서울 서초구 방배로 134 (우)06664,hi,02-9555-6098,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
139,30,소울헤어,서울 동작구 사당로29가길 9 (우)07007,hi,02-5204-2998,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
140,29,각시헤어,서울 서초구 동광로 18 (우)06565,hi,02-7198-8642,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
141,30,블랑코헤어,서울 동작구 남부순환로269길 24 (우)07016,hi,02-1948-7553,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
142,28,유민헤어,서울 동작구 사당로17길 87 (우)07003,hi,02-4456-9533,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
143,26,바람난여우미용실,서울 동작구 동작대로9길 9 (우)07015,매일 10:30 ~ 21:00,02-581-0888,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
144,34,더맨헤어,서울 동작구 사당로 283 (우)07006,hi,02-2658-1592,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
145,26,조이 헤어아트,서울 서초구 방배중앙로15길 36 (우)06564,hi,02-0536-9270,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
146,30,머리염색체험방 방배3호점,서울 서초구 방배중앙로15길 39 (우)06570,hi,02-5167-5679,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
147,31,헤어컴미용실,서울 동작구 동작대로31길 20 (우)06997,hi,02-9078-6644,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
148,31,김세아헤어샵,서울 서초구 방배로35길 37 (우)06561,hi,02-4976-7804,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
149,32,컨헤어살롱,서울 동작구 동작대로 121 9층 (우)07008,hi,010-8077-8256,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
150,27,뉴월드헤어,서울 동작구 사당로 284 (우)07013,hi,02-3741-2906,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
151,32,카일리헤어,서울 동작구 사당로14길 3 (우)07010,hi,02-0779-9679,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
152,34,살롱드101,서울 서초구 방배로31길 14 (우)06562,hi,02-9303-0928,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
153,30,씬헤어,서울 서초구 방배천로2안길 51 (우)06692,hi,02-1755-8162,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
154,34,스타일 랩 참 방배점,서울 서초구 동광로 65 방배빌딩 1층 (우)06561,월~토 10:30 ~ 20:30,02-6439-0422,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
155,29,느루헤어,서울 동작구 사당로28길 56 1층 느루헤어 (우)07015,월~토 10:00 ~ 22:00,02-8225-8241,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
156,27,수만헤어샵,서울 동작구 남부순환로271길 8 1층 2호 (우)07025,매일 00:00 ~ 24:00,010-8852-4982,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
157,30,낙향헤어샵,서울 동작구 사당로28길 48 (우)07015,hi,02-1611-1488,2,0,2023-05-24 15:17:39,2023-05-24 15:17:39
158,31,끼깍끼,서울 동작구 동작대로 151-8 (우)06996,hi,02-2454-6889,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
159,26,진헤어,서울 서초구 방배천로18길 20 (우)06677,hi,02-4084-5190,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
160,35,퀸즈헤나 방배점,서울 서초구 방배천로16길 18 (우)06677,hi,02-1628-1265,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
161,32,메이헤어살롱,서울 동작구 사당로17가길 1 (우)07004,hi,02-4113-0294,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
162,32,이현남헤어모드,서울 동작구 동작대로29나길 34 (우)06997,hi,02-8326-2365,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
163,30,살롱드모아,서울 동작구 동작대로 189 1층 101호 (우)06995,화~금 10:00 ~ 20:00,02-591-7677,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
164,30,수나헤어,서울 동작구 사당로22길 25 (우)07012,hi,02-4206-3013,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
165,29,외출준비미용실,서울 서초구 방배중앙로15길 16 (우)06564,hi,02-0647-6089,1,0,2023-05-24 15:17:39,2023-05-24 15:17:39
166,27,권보민헤어,서울 서초구 방배중앙로27길 5 (우)06555,hi,02-0894-6270,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
167,26,살롱정지영,서울 관악구 남현길 3 (우)08806,매일 10:00 ~ 20:30,02-3458-8644,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
168,27,러블리하우스 남성1호점,서울 동작구 사당로 192 (우)07009,hi,02-588-5336,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
169,35,헤어컷,서울 동작구 사당로30길 44 (우)07013,hi,02-0723-2279,3,0,2023-05-24 15:17:39,2023-05-24 15:17:39
170,30,라파헤어,서울 서초구 서초대로1길 19 (우)06567,hi,02-9301-3519,5,0,2023-05-24 15:17:39,2023-05-24 15:17:39
171,31,무지개,서울 동작구 동작대로7길 18-1 (우)07015,hi,02-5976-8833,4,0,2023-05-24 15:17:39,2023-05-24 15:17:39
